entity_id,short_name,component,series_id,series_label,raw,score
gemini-3.6-flash-high,Gemini 3.6 Flash,capability,epoch-gpqa,GPQA Diamond,0.941288,90.499311
gemini-3.6-flash-high,Gemini 3.6 Flash,capability,epoch-otis-aime,OTIS Mock AIME,0.941667,83.561759
gemini-3.6-flash-high,Gemini 3.6 Flash,capability,epoch-scicode,SciCode,0.52662,81.223137
gemini-3.6-flash-high,Gemini 3.6 Flash,capability,epoch-weirdml,WeirdML,0.561,78.511462
gemini-3.6-flash-high,Gemini 3.6 Flash,operational_efficiency,deepswe-agent-steps,DeepSWE steps,108.310421,22.156709
gemini-3.6-flash-high,Gemini 3.6 Flash,operational_efficiency,deepswe-output-tokens,DeepSWE tokens,96978.283814,20.485015
gemini-3.6-flash-high,Gemini 3.6 Flash,access_economics,weirdml-cost-per-run,WeirdML cost/run,0.622712,51.050155
glm-5.2-max,GLM-5.2,capability,deepswe-v1.1-pass1,DeepSWE Pass@1,0.437778,31.410261
glm-5.2-max,GLM-5.2,capability,epoch-chess-puzzles,Chess puzzles,0.21,52.722246
glm-5.2-max,GLM-5.2,capability,epoch-critpt,CritPt,0.208571,75.153844
glm-5.2-max,GLM-5.2,capability,epoch-gpqa,GPQA Diamond,0.918561,84.818925
glm-5.2-max,GLM-5.2,capability,epoch-otis-aime,OTIS Mock AIME,0.863889,69.383895
glm-5.2-max,GLM-5.2,capability,epoch-scicode,SciCode,0.50463,74.031652
glm-5.2-max,GLM-5.2,capability,epoch-weirdml,WeirdML,0.7012,96.113963
glm-5.2-max,GLM-5.2,operational_efficiency,deepswe-agent-steps,DeepSWE steps,129.126667,13.921319
glm-5.2-max,GLM-5.2,operational_efficiency,deepswe-output-tokens,DeepSWE tokens,78175.306667,29.517711
glm-5.2-max,GLM-5.2,access_economics,weirdml-cost-per-run,WeirdML cost/run,0.507287,55.155103
